placa;marca_modelo;chassi;ano_fabricacao;ano_modelo
GSF2743;GM/MONTANA CONQUEST;;2004;2005
KJW8231;FIAT/STRADA FIRE FLEX;;2007;2007
LHK5395;FORD/F4000;;1986;1986
MNR3F37;GM/CHEVROLET D10;;1982;1982
MOK6I12;VW/INDUSCAR FOZ U;;2009;2010
MOK9B12;MARCOPOLO/VOLARE V8L ESC;;2009;2010
MON2370;HONDA/CG 125 CARGO;;2000;2001
MOO3B04;VW/INDUSCAR FOZ U;;2009;2009
MOU0917;FIAT/TECFORM CLASS CD2;;2005;2005
NEW0001;IMP/GM CORSA GL;;1998;1999
NPT0770;RENAULT/MEGANESD EXPR 16;;2009;2010
NPT0772;HONDA/CG 125 FAN KS;;2011;2012
NQI0465;HONDA/NXR150 BROS MIX ES;;2010;2010
OGE2417;INTERNATIONAL/4400P7 6X4;;2012;2013
OGF5E40;MPOLO/VOLARE V8L 4X4 EO;;2012;2013
OGG6585;FIAT/PALIO WK ATTRAC 1.4;;2013;2014
OGG6655;INTERNATIONAL/4400P7 6X4;;2013;2014
OXO3828;FIAT/UNO MILLE WAY ECON;;2013;2013
QFE2E14;HONDA/POP100;;2015;2015
QFE8506;FIAT/PALIO FIRE;;2014;2015
QFE8F16;M.BENZ/OF 1519 R.ORE;;2014;2014
QFG0103;FORD/ECOSPORT FSL 1.6;;2014;2015
QFG0I03;MPOLO/VOLARE V8L 4X4 EO;;2017;2017
QFN9844;MMC/L200 TRITON GLX D;;2017;2017
QFN9894;MMC/L200 TRITON GLX D;;2017;2017
QFO5E66;M.BENZ/OF 1519 R.ORE;;2016;2016
QFP5E66;CHEV/PRISMA 1.4AT LTZ;;2016;2016
QFT1488;I/CHEVROLET CLASSIC LS;;2015;2016
QFT1508;I/CHEVROLET CLASSIC LS;;2015;2016
QFX0I85;M.BENZ/OF 1519 R.ORE;;2017;2017
QNS4268;CHEV/SPIN 1.8L MT LTZ;;2017;2018
QSC0594;FIAT/STRADA MARIMAR AMB;;2019;2019
QSD6309;VW/MASCA GRANMICRO E O;;2018;2019